"API","operator","well","section","twn","rng","reservoir","field","firstProd","cumOil","cumGas","fluid","proppant","TVD","perf","surfLat","surfLong","bhLat","bhLong","ppf","gor"
"3300701508","XTO","LOGOSZ  44X-15","15","142","99","Middle Bakken","ST. DEMETRIUS",2015-05-01,3354,3175,NA,NA,10929,6672,47.111533317,-103.204886013,47.098148325,-103.219408875,NA,0.946630888491354
"3300701511","XTO","STATE LOGOSZ  44X-16","16","142","99","Middle Bakken","ST. DEMETRIUS",2015-05-01,1053,5457,NA,NA,10965.2,6052,47.111369898,-103.225552718,47.123098922,-103.241176157,NA,5.18233618233618
"3300701516","XTO","PALUCK  41X-28","28","142","99","Middle Bakken","ST. DEMETRIUS",2015-05-01,4578,8616,NA,NA,10928.4,7073,47.094901158,-103.224976949,47.108610318,-103.241151385,NA,1.88204456094364
"3300701525","XTO","ANHELUK  44X-23","23","142","99","Middle Bakken","ST. DEMETRIUS",2015-05-01,2635,7792,NA,NA,10905,7131,47.096939674,-103.182315097,47.083484914,-103.199016492,NA,2.95711574952562
"3300701534","LIME ROCK III-A","KADRMAS  41-1H","1","142","98","Middle Bakken","WILLMEN",2015-05-01,5820,5120,NA,NA,10801.8,7560,47.15409279,-103.034614913,47.141919209,-103.014016028,NA,0.879725085910653
"3300701535","XTO","CHRUSZCH  11X-20","20","142","99","Middle Bakken","ST. DEMETRIUS",2015-05-01,1718,6464,NA,NA,11002.5,7109,47.109520917,-103.263360978,47.123089438,-103.246540333,NA,3.76251455180442
"3300701536","NP","FEDERAL  16-8H","8","143","100","Middle Bakken","FOUR EYES",2015-05-01,1128,987,NA,NA,10925.1,7805,47.213283113,-103.375821105,47.223852866,-103.352366598,NA,0.875
"3300701540","XTO","HELLICKSON PALUCK  44X-24","24","142","99","Middle Bakken","ST. DEMETRIUS",2015-05-01,2129,8739,NA,NA,10869.1,7226,47.096987778,-103.161226948,47.083225035,-103.175558822,NA,4.1047440112729
"3300701544","XTO","GAWRYLOW  44X-30","30","142","98","Middle Bakken","BULLSNAKE",2015-05-01,3299,6544,NA,NA,10788.4,7272,47.082455946,-103.14053478,47.068787245,-103.15716891,NA,1.98363140345559
"3300701546","CONTINENTAL","XAVIER  1-10H","10","141","99","Middle Bakken","ST. DEMETRIUS",2015-05-01,5483,4221,NA,NA,10882.6,6656,47.051164273,-103.21504289,47.065018583,-103.204655668,NA,0.76983403246398
"3300701551","XTO","KRUSHEVSKY LOGOSZ  41X-35","35","142","99","Middle Bakken","ST. DEMETRIUS",2015-05-01,6281,11274,NA,NA,10821.2,7387,47.080979335,-103.181917058,47.068820064,-103.161710876,NA,1.79493711192485
"3300701553","CONTINENTAL","NATALIE  1-2H","2","142","99","Middle Bakken","FAIRFIELD",2015-05-01,5815,5639,NA,NA,11053.6,6225,47.140142938,-103.199408992,47.126974285,-103.189745369,NA,0.969733447979364
"3300701561","CONTINENTAL","GLORIA  1-18H","18","141","98","Middle Bakken","ST. DEMETRIUS",2015-05-01,915,588,NA,NA,10661.3,6397,47.024682322,-103.159124975,47.011309108,-103.148320909,NA,0.642622950819672
"3300701568","LIME ROCK III-A","GRESZ STATE  14-36H","36","143","98","Middle Bakken","LITTLE KNIFE",2015-05-01,934,1028,NA,NA,10836.7,6301,47.154671504,-103.052114624,47.166452849,-103.035676284,NA,1.10064239828694
"3300701571","XTO","OBRIGEWITSCH  44X-32","32","142","98","Middle Bakken","GLADE",2015-05-01,2090,5900,NA,NA,10817.8,7237,47.068111372,-103.119266637,47.054407465,-103.136351342,NA,2.82296650717703
"3300701573","CONTINENTAL","CERKONEY  1-9H","9","141","98","Middle Bakken","GLADE",2015-05-01,1918,899,NA,NA,10727,6549,47.038996814,-103.116591966,47.04615895,-103.13573131,NA,0.468717413972888
"3300701574","CONTINENTAL","URBAN  1-12H","12","141","99","Middle Bakken","ST. DEMETRIUS",2015-05-01,779,514,NA,NA,10784.4,6395,47.05213272,-103.160911219,47.065348914,-103.170889734,NA,0.65982028241335
"3300701578","LEGACY RESERVES","ASH COULEE  2-2H","2","142","102","Middle Bakken","ASH COULEE",2015-05-01,2184,2954,NA,NA,10189,3859.78,47.153082353,-103.561438323,47.145145561,-103.567500514,NA,1.3525641025641
"3300701585","CONTINENTAL","MALKOWSKI  1-35H","35","143","99","Middle Bakken","WHITETAIL",2015-05-01,1658,821,NA,NA,11111.3,6163.3,47.16758799,-103.199257562,47.18065864,-103.190215769,NA,0.495174909529554
"3300701586","XTO","THOMPSON  21-8H","8","143","99","Middle Bakken","WHITETAIL",2015-05-01,948,2382,NA,NA,11104.3,5267,47.225566681,-103.257050253,47.213360289,-103.262886665,NA,2.5126582278481
"3300701592","CONTINENTAL","FILKOWSKI  1-1H","1","142","99","Middle Bakken","FAIRFIELD",2015-05-01,8722,6358,NA,NA,11009,6279.8,47.140143886,-103.178788078,47.126965645,-103.168866261,NA,0.728961247420316
"3300701593","CONTINENTAL","DAHLE  1-2H","2","141","99","Middle Bakken","ST. DEMETRIUS",2015-05-01,3504,1756,NA,NA,10817.9,6445,47.053388705,-103.199716248,47.040236615,-103.189884865,NA,0.501141552511416
"3300701603","WHITE ROCK","ANHELUK  24-1H","1","142","100","Middle Bakken","TREE TOP",2015-05-01,600,1932,NA,NA,10885.5,5225,47.139865301,-103.297451798,47.152121601,-103.305322642,NA,3.22
"3300701610","XTO","BASARABA   44X-27","27","142","99","Middle Bakken","ST. DEMETRIUS",2015-05-01,15375,17190,NA,NA,10852.5,7193,47.082495411,-103.203865231,47.068558018,-103.220663998,NA,1.1180487804878
"3300701623","XTO","JILEK  44X-33","33","142","99","Middle Bakken","ST. DEMETRIUS",2015-05-01,2377,10008,NA,NA,10822,10141,47.069233314,-103.224160776,47.075851708,-103.262687202,NA,4.2103491796382
"3300701624","LEGACY RESERVES","ELKHORN RANCH  2-24H","24","143","102","Middle Bakken","ELKHORN RANCH",2015-05-01,5694,13668,NA,NA,10433.2,4389,47.194472731,-103.543823236,47.183989817,-103.545343639,NA,2.40042149631191
"3300701628","XTO","LOGOSZ  44X-22","22","142","99","Middle Bakken","ST. DEMETRIUS",2015-05-01,1794,3245,NA,NA,10952.3,9946,47.096998092,-103.205329022,47.123456144,-103.206706759,NA,1.80880713489409
"3300701663","CONTINENTAL","HAAG   1X-21H","21","144","99","Middle Bakken","BLACKTAIL",2015-05-01,5189,3069,NA,NA,11193.5,10223,47.270733514,-103.237056667,47.297910892,-103.236260676,NA,0.591443438042012
"3300701692","LIME ROCK III-A","STATE TITOS  1-3-10H-142-98","34","143","98","Middle Bakken","SADDLE BUTTE",2015-05-01,3790,3424,NA,NA,10931.1,10698,47.154754234,-103.090571361,47.126347436,-103.090722316,NA,0.903430079155673
"3300701696","PETRO-HUNT","ZABOLOTNY  144-98-3A-10-1H","3","144","98","Middle Bakken","LITTLE KNIFE",2015-05-01,13700,13972,NA,NA,10974.6,10772,47.327969749,-103.079451268,47.299535901,-103.081091215,NA,1.01985401459854
"3300701708","LIME ROCK III-A","STATE JOE LOH  1-20-17H-143-98","20","143","98","Middle Bakken","LITTLE KNIFE",2015-05-01,3947,3998,NA,NA,11108,10398,47.184193157,-103.123891192,47.211444669,-103.125724823,NA,1.01292120597922
"3300701710","LIME ROCK III-A","STATE GRESZ  1-35-26H-143-98","35","143","98","Middle Bakken","HUNGRY MAN BUTTE",2015-05-01,15310,9475,NA,NA,10921.9,10422,47.155109192,-103.057395951,47.18242493,-103.059127338,NA,0.618876551273677
"3300701711","LIME ROCK III-A","STATE HECKER   1-2-11H-142-98","35","143","98","Middle Bakken","SADDLE BUTTE",2015-05-01,5833,7343,NA,NA,10868.3,10936.1,47.154926735,-103.05759986,47.12630648,-103.059473581,NA,1.25887193553917
"3300701719","PRIMA EXPLORATION","BASARABA  34-35-1H","35","144","100","Middle Bakken","MAGPIE",2015-05-01,12054,35747,NA,NA,10956.4,10278,47.241636967,-103.315368766,47.268828825,-103.31586944,NA,2.96557159449145
"3300701723","CONTINENTAL","NATALIE   2-2H","2","142","99","Middle Bakken","FAIRFIELD",2015-05-01,7837,5152,NA,NA,11038.1,10563,47.153376049,-103.182123181,47.125876943,-103.183042956,NA,0.657394411126707
"3300701736","LIME ROCK III-A","CROSBY CREEK  1-19-18H-144-98","30","144","98","Middle Bakken","LITTLE KNIFE",2015-06-01,NA,NA,978487.344721179,733767.581527424,11096.2,10982,47.268889038,-103.146770388,47.297964232,-103.147085244,66.8154781940834,0.634433962264151
"3300701739","LIME ROCK III-A","HANS CREEK  1-30-31H-144-98","30","144","98","Middle Bakken","LITTLE KNIFE",2015-05-01,877,2041,1696525.85095158,1475175.11842667,11071.1,10303,47.268914517,-103.147189164,47.241569273,-103.146685371,143.179182609596,2.327251995439
"3300701744","BRUIN","KUNTZ  1-23-14H-142-98","23","142","98","Middle Bakken","SADDLE BUTTE",2015-05-01,2765,3673,2116611.81819353,2305759.14555213,10897.1,12303,47.097416489,-103.067230869,47.124722279,-103.067503235,187.414382309366,1.32839059674503
"3300701752","LIME ROCK III-A","SIVAK  1-29-28H-143-98","29","143","98","Middle Bakken","HUNGRY MAN BUTTE",2015-05-01,3367,2384,2506884.01669939,2730907.33910594,11123.9,10451,47.17888421,-103.137391953,47.178336322,-103.097149426,261.30584050387,0.708048708048708
"3300701777","LIME ROCK III-A","BERNARD IRWIN  1-1-12H-143-98","1","143","98","Middle Bakken","LITTLE KNIFE",2015-05-01,3136,1917,7087253.62677952,1014257.69107343,10853.6,10180,47.239828399,-103.040536862,47.212755963,-103.040783165,99.6323861565255,0.611288265306122
"3300701779","BRUIN","RICHARD LONGFELLOW  1-22-15H-142-98","22","142","98","Middle Bakken","SADDLE BUTTE",2015-05-01,4213,7839,1817469.16857737,1979884.13424947,10956.5,10412,47.097183369,-103.088367425,47.124729465,-103.088852022,190.154065909476,1.86066935675291
"3300701797","LIME ROCK III-A","JOHN HARTRANFT  1-22-15H-143-98","22","143","98","Middle Bakken","LITTLE KNIFE",2015-05-01,328,1229,NA,NA,11053.3,10316,47.184108525,-103.088159504,47.211382168,-103.088752449,NA,3.7469512195122
"3300701801","LIME ROCK III-A","WALTER COOKE  1-9-4H-143-98","16","143","98","Middle Bakken","LITTLE KNIFE",2015-05-01,19263,15720,3651325.35686694,3278299.4627016,11091.8,11014,47.21139622,-103.105704144,47.240348312,-103.106867469,297.648398647322,0.816072262887401
"3300701809","PETRO-HUNT","BURIAN  144-98-14A-23-1H","14","144","98","Middle Bakken","LITTLE KNIFE",2015-05-01,17628,16848,4457181.41629727,3871520.90775626,11052.1,10570,47.298713985,-103.064247419,47.270548977,-103.064233899,366.27444728063,0.955752212389381
"3300701844","LIME ROCK III-A","STATE GRESZ  3-26-35H-143-98","26","143","98","Middle Bakken","HUNGRY MAN BUTTE",2018-07-01,NA,NA,7994388.77125101,5625705.24452088,10981,10120,47.181754932,-103.068216857,47.154873414,-103.069652066,555.899727719454,1.83110357769841
"3300701846","LIME ROCK III-A","STATE GRESZ  5-26-35H-143-98","26","143","98","Middle Bakken","HUNGRY MAN BUTTE",2018-07-01,NA,NA,8062844.02550955,5753231.33249456,10986.8,10374,47.181898332,-103.067419255,47.154811129,-103.063583357,554.581774869343,2.02950439010231
"3300701886","PETRO-HUNT","HURINENKO  144-98-11D-2-1H","14","144","98","Middle Bakken","LITTLE KNIFE",2018-02-01,NA,NA,4614164.09364615,5304569.77007245,11046.7,11438,47.298052921,-103.062439551,47.328508895,-103.061502811,463.767246902645,0.763048819087525
"3300701912","PETRO-HUNT","ZABOLOTNY 144-98-3B-10- 2H","3","144","98","Middle Bakken","LITTLE KNIFE",2019-08-01,NA,NA,19324747.2370143,21051669.6043294,10953.9,11490,47.329760816,-103.094070614,47.299011753,-103.094016745,1832.17315964572,0.826228622051382
"3300701913","PETRO-HUNT","ZABOLOTNY 144-98-3B-10-  3H","3","144","98","Middle Bakken","LITTLE KNIFE",2019-07-01,NA,NA,16485635.8920267,17958846.0205826,10939.4,11473,47.329694611,-103.087744603,47.299016408,-103.087800442,1565.31386913472,0.844255000234203
"3301300869","CHALLENGER POINT","E-M MELBY  8-13R HZ","8","162","89","Middle Bakken","SPIRAL",2015-05-01,373,0,NA,NA,6984.29,5165,48.867159475,-102.259215986,48.876797967,-102.254294114,NA,0
"3301301336","PETRO-HUNT","20501 JV-P BATTLEVIEW 1621  1-H","16","159","94","Middle Bakken","NORTH TIOGA",2015-05-01,1006,2886,3742357.12609302,4076786.35035486,9362.22,9274,48.602926621,-102.837255515,48.578556646,-102.83300306,439.593093633261,2.86878727634195
"3301301361","PETRO-HUNT","STROMBECK  6B-2-2H","6","159","94","Middle Bakken","NORTH TIOGA",2015-05-01,3997,9626,NA,NA,9203.12,5593,48.632454152,-102.881626181,48.621163886,-102.868105375,NA,2.40830622967225
"3301301368","CONTINENTAL","J.H. SKARPHOL  1-31H","31","161","94","Middle Bakken","STONEVIEW",2015-05-01,11269,43685,1012668.65621961,1103164.02630936,10714.3,7165,48.721240391,-102.938177504,48.731404899,-102.923467362,153.965670105982,3.87656402520188
"3301301370","PETRO-HUNT","WOLD  31D-4-3H","31","160","94","Middle Bakken","NORTH TIOGA",2015-05-01,10717,15411,NA,NA,9097.77,6415.3,48.633871647,-102.866527143,48.646174221,-102.883559026,NA,1.43799570775404
"3301301383","OASIS","OAS  31-161-92H","31","161","92","Middle Bakken","FOOTHILLS",2015-05-01,2828,2610,NA,NA,8790.43,6632,48.733994484,-102.676854268,48.722069436,-102.657983275,NA,0.922913719943423
"3301301392","OASIS","EDWARDS  44-9H","9","159","92","Middle Bakken","COTTONWOOD",2015-05-01,1306,2007,NA,NA,9039.91,6430,48.605627318,-102.561596873,48.6174606,-102.57938778,NA,1.53675344563553
"3301301393","PETRO-HUNT","MOBERG  29A-2-3H","29","159","94","Middle Bakken","NORTH TIOGA",2015-05-01,7332,31283,NA,NA,9189.99,6927.23,48.572543399,-102.848697064,48.588183235,-102.861812186,NA,4.26663938897981
"3301301396","CONTINENTAL","OVERLEE  1-30H","30","160","94","Middle Bakken","NORTH TIOGA",2015-05-01,2025,667,NA,NA,9171.07,9686,48.648445485,-102.869622433,48.674045459,-102.870373218,NA,0.329382716049383
"3301301397","LIBERTY","CLARK  16-27H","27","159","92","Middle Bakken","COTTONWOOD",2015-05-01,1609,419,NA,NA,9220.4,5526,48.562183429,-102.540221943,48.573837232,-102.55148969,NA,0.260410192666252
"3301301401","OASIS","BARENTHSEN  11-20H","20","159","92","Middle Bakken","COTTONWOOD",2015-05-01,3016,8665,NA,NA,9195.61,6089,48.588450113,-102.601911863,48.577274177,-102.584758639,NA,2.87301061007958
"3301301402","EOG","VANVILLE  1-14H","14","159","91","Middle Bakken","THOMPSON LAKE",2015-05-01,4418,6350,NA,NA,8730.16,6257,48.603297781,-102.405306761,48.591282776,-102.392692152,NA,1.43730194658216
"3301301412","LIBERTY","DOUTS  4-7H","7","159","93","Middle Bakken","NORTH TIOGA",2015-05-01,2018,1345,NA,NA,9331.21,5277,48.617362579,-102.753343949,48.605696902,-102.742483211,NA,0.666501486620416
"3301301414","OASIS","LUCY  11-23H","23","160","92","Middle Bakken","COTTONWOOD",2015-05-01,1872,1650,NA,NA,8761.95,6182,48.675467776,-102.535569277,48.663776773,-102.518607827,NA,0.881410256410256
"3301301417","OASIS","WEINMANN  11-28H","28","160","92","Middle Bakken","COTTONWOOD",2015-05-01,2806,5541,NA,NA,8871.5,5820,48.660769061,-102.57772306,48.649510514,-102.562155757,NA,1.97469707769066
"3301301421","OASIS","EDWARDS FEDERAL  5992 44-10H","10","159","92","Middle Bakken","COTTONWOOD",2015-05-01,10749,14040,NA,NA,9003.85,10865,48.605713964,-102.538956606,48.631844174,-102.557437457,NA,1.30616801562936
"3301301431","OASIS","LAUMB   11-22H","22","160","93","Middle Bakken","GROS VENTRE",2015-05-01,4752,6965,NA,NA,9044.86,5956,48.674210013,-102.688253678,48.663974725,-102.670934662,NA,1.46569865319865
"3301301432","PETRO HARVESTER","AV-WRIGLEY-163-94-  0607H-1","6","163","94","Middle Bakken","FORTHUN",2015-05-01,7286,8921,NA,NA,7440.99,10619,48.980214961,-102.937937473,48.95483629,-102.920234998,NA,1.22440296458962
"3301301443","OASIS","PETERS  11-1H","1","160","93","Middle Bakken","GROS VENTRE",2015-05-01,3879,8292,NA,NA,8897.13,10303,48.719747975,-102.641858142,48.692249179,-102.641466756,NA,2.13766434648105
"3301301444","LIME ROCK III-A","FEDERAL TRIPPELL  32-16H","32","160","90","Middle Bakken","DIMOND",2015-05-01,8783,11055,NA,NA,8311.4,5660,48.634157304,-102.321965411,48.645925546,-102.335116661,NA,1.25868154389161
"3301301448","OASIS","DALE VAN BERKOM  11-18H","18","159","92","Middle Bakken","COTTONWOOD",2015-05-01,6390,9771,NA,NA,9242.67,10224,48.603896426,-102.619582791,48.576828601,-102.617091021,NA,1.52910798122066
"3301301451","CORNERSTONE NATURAL","JEPSEN   21-19HB","19","161","90","Middle Bakken","COTEAU",2015-05-01,5206,6822,NA,NA,7782.25,10035,48.76242677,-102.406073572,48.736182568,-102.401093302,NA,1.31041106415674
"3301301456","CORNERSTONE NATURAL","JEPSEN  34-14H","14","161","90","Middle Bakken","LOSTWOOD",2015-05-01,1634,2392,NA,NA,7466.69,4920,48.764301385,-102.313606729,48.776797408,-102.313777462,NA,1.46389228886169
"3301301463","LIME ROCK III-A","HONKERS  9-16H","9","160","90","Middle Bakken","DIMOND",2015-05-01,4598,9364,NA,NA,7843.64,6692,48.692069737,-102.300177774,48.703954944,-102.31835927,NA,2.03653762505437
"3301301464","PETRO HARVESTER","EARL CHREST JR.   1H","26","161","91","Middle Bakken","LITTLE BUTTE",2015-05-01,1979,1419,NA,NA,7957.23,4692,48.747741706,-102.445466622,48.73643464,-102.43946592,NA,0.717028802425467
"3301301468","LIME ROCK III-A","RED LADY  36-4H","36","160","91","Middle Bakken","DIMOND",2015-05-01,5341,4183,NA,NA,8376.66,6584,48.647060066,-102.384612886,48.635238057,-102.366991083,NA,0.783186669163078
"3301301471","LIME ROCK III-A","TRUE BLONDE   16-15H","16","160","91","Middle Bakken","DIMOND",2015-05-01,4084,2558,NA,NA,8423.42,5880,48.677542177,-102.436176244,48.689782869,-102.449008399,NA,0.626346718903036
"3301301472","LIME ROCK III-A","MAD HATTER  16-4H","16","160","90","Middle Bakken","DIMOND",2015-05-01,5193,3662,NA,NA,7938.79,6445,48.690515261,-102.320014185,48.679177444,-102.301320373,NA,0.705180050067398
"3301301473","OASIS","BARENTHSEN  6059 44-5H","5","159","92","Middle Bakken","COTTONWOOD",2015-05-01,7867,8212,NA,NA,8872.98,10548,48.619449394,-102.583426353,48.646595364,-102.594216945,NA,1.04385407397992
